id,CustomerID,BranchID,ProductID,Date,Time,Quantity,TotalAmount
100,641,113,118,1/11/2020,19:31:30,0.79,11.5419
101,624,119,115,10/7/2020,21:10:15,2.02,17.7356
102,1003,118,108,12/23/2020,21:25:12,0.61,5.5998
103,342,100,104,8/21/2020,18:28:27,1.58,16.985
104,228,131,110,6/30/2020,19:13:45,0.69,9.3909
105,473,120,104,9/5/2020,11:57:35,0.84,9.03
106,735,105,102,8/2/2020,19:35:25,0.35,3.9375
107,717,114,112,4/4/2020,18:11:32,1.29,18.9888
108,379,122,114,12/1/2020,19:10:14,1.78,25.4718
109,961,118,107,6/24/2020,17:12:44,0.46,3.8962
110,331,110,100,2/6/2020,15:10:53,1.19,16.303
111,151,121,101,12/29/2020,11:35:06,1.72,15.3596
112,859,128,112,12/2/2020,13:03:11,1.25,18.4
113,271,121,105,3/29/2020,13:48:03,1.1,15.84
114,532,116,114,7/3/2020,19:33:01,1.38,19.7478
115,954,117,100,10/23/2020,13:50:51,1.89,25.893
116,762,129,117,10/28/2020,11:23:15,1.97,29.7667
117,772,104,111,5/21/2020,16:06:54,0.97,7.3041
118,159,118,119,12/2/2020,19:15:30,0.54,6.7662
119,198,114,114,12/11/2020,17:35:26,2.3,32.913
120,971,113,102,6/2/2020,14:07:28,1.49,16.7625
121,823,127,107,10/20/2020,16:47:04,1.29,10.9263
122,1088,115,108,8/13/2020,14:25:35,0.7,6.426
123,655,108,103,8/6/2020,13:10:09,1.01,13.1603
124,383,115,107,8/26/2020,16:41:53,1.34,11.3498
125,976,114,113,3/7/2020,20:54:39,0.75,7.545
126,225,105,119,3/15/2020,19:55:08,0.72,9.0216
127,107,119,114,7/3/2020,15:04:26,1.65,23.6115
128,676,112,118,2/5/2020,20:16:09,2.24,32.7264
129,697,106,117,3/22/2020,12:02:28,2.08,31.4288
130,467,135,104,12/17/2020,18:18:54,0.69,7.4175
131,928,109,112,10/2/2020,19:07:49,1.18,17.3696
